MyBusiness;;;;;;
"
                    Codice
                  ";"
                    Tipo
                  ";"
                    Prodotto
                  ";"
                    Categoria
                  ";"
                    PV Medio
                  ";"
                    Resa
                  ";"
                    Ub.
                  "
PRANZO_62;Ricetta;ZUPPA DI LEGUMI PRANZO;ZZZ ARCHIVIO FOOD;9;1;pz
PASTE_21;Ricetta;ZUPPA DI LEGUMI;ZZZ ARCHIVIO FOOD;7,84;1;pz
PIZZA_17;Ricetta;ZUCCA E TARTUFO;ZZZ ARCHIVIO FOOD;16,2;1;pz
COCKTAILS_26;Ricetta;ZIVAGO MULE;ZZZ ARCHIVIO BEVERAGE;7;1;pz
BOTTIGLIE_4;Ricetta;ZINGI ALE BOTTIGLIA;BOTTIGLIE 🍾;3;1;pz
ZERO_SCUSE;Prodotto;ZERO SCUSE;ZERO SCUSE;0;1;pz
AMARI_14;Ricetta;ZACAPA 23Y;AMARI;8;1;pz
COCKTAILS_17;Ricetta;WHISKY E COLA;COCKTAILS 🍸;7;1;pz
SPILLATORI_15;Ricetta;WEST IPA;SPILLATORI;0;1;pz
COCKTAILS_10;Ricetta;VODKA TONIC;COCKTAILS 🍸;7;1;pz
COCKTAILS_9;Ricetta;VODKA LEMON;COCKTAILS 🍸;7;1;pz
COCKTAILS_63;Ricetta;VODKA E RED BULL SUGAR FREE;COCKTAILS 🍸;5,6;1;pz
COCKTAILS_62;Ricetta;VODKA E RED BULL;COCKTAILS 🍸;7;1;pz
VINI_5;Ricetta;VERMENTINO BOTTIGLIA;VINI;22;1;pz
CONTORNO_CREMONINI_4;Ricetta;VERDURE GRILL CREMONINI;CONTORNI 🥗;0;1;pz
CONTORNI_5;Ricetta;VERDURE GRIGLIATE;ZZZ ARCHIVIO FOOD;4;1;pz
CONTORNI_12;Ricetta;VERDURE GRIGLIATE;CONTORNI 🥗;4,2;1;pz
PIZZE_6;Prodotto;VERDURE E FIORDILATTE;ZZZ ARCHIVIO FOOD;10,4;1;pz
PIZZE_16;Ricetta;VERDURE E BELLA LODI CROCCANTE;ZZZ ARCHIVIO FOOD;9,8;1;pz
PRANZO_58;Ricetta;VERDURE ALLA BRACE PRANZO;MENU PRANZO;8;1;pz
CONTORNI_7;Prodotto;VERDURE AL FORNO;ZZZ ARCHIVIO FOOD;4;1;pz
PRANZO_56;Ricetta;VELLUTATA DI PISELLI PRANZO;ZZZ ARCHIVIO FOOD;7,2;1;pz
BURGER_23;Ricetta;VEGETALE E QUALE DOPPIO BURGER;MAXI BURGER;0;1;pz
BURGER_22;Ricetta;VEGETALE E QUALE BURGER;ZERO SCUSE;10,8;1;pz
BURGER_67;Ricetta;VEG BURGER;ZERO SCUSE;6,5;1;pz
AH_PERO_19;Ricetta;VEG APERITIVO 2 PAX;AH PERO';20;1;pz
AH_PERO_18;Ricetta;VEG APERITIVO 1 PAX;AH PERO';10;1;pz
MERCHANDISING_38;Ricetta;UOVA DI PASQUA CAGLIARI CALCIO;MERCHANDISING;10;1;pz
BOTTIGLIE_1;Ricetta;ULTRA PILS BOTTIGLIA;BOTTIGLIE 🍾;3;1;pz
PRANZO_52;Ricetta;TRIS TAGLIATELLE VERDURE;ZZZ ARCHIVIO FOOD;12;1;pz
PRANZO_60;Ricetta;TRIS TAGLIATELLE POMODORO E OLIVE;ZZZ ARCHIVIO FOOD;12;1;pz
PRANZO_64;Ricetta;TRIS TAGLIATELLA FUNGO E POMODORO;ZZZ ARCHIVIO FOOD;12;1;pz
PRANZO_69;Ricetta;TRIS TAGLIATELLA E RASPADURA;MENU PRANZO;12;1;pz
PRANZO_51;Ricetta;TRIS TAGLIAT ZUCCA E FUNGHI;ZZZ ARCHIVIO FOOD;0;1;pz
PRANZO_21;Ricetta;TRIS POLLO TAGLIATELLE OTTOBRE 2025;ZZZ ARCHIVIO FOOD;8,8;1;pz
PRANZO_24;Ricetta;TRIS POLLO MEZZELUNE OTTOBRE 2025;ZZZ ARCHIVIO FOOD;15,4;1;pz
PRANZO_61;Ricetta;TRIS MEZZELUNE BELLA LODI E PEPE;ZZZ ARCHIVIO FOOD;12;1;pz
PRANZO_47;Ricetta;TRIS MACCH. ZUCCHINE E STRACCIATELLA PRANZO;ZZZ ARCHIVIO FOOD;12;1;pz
PRANZO_46;Ricetta;TRIS MACCH. POMODORO E BASILICO;ZZZ ARCHIVIO FOOD;12;1;pz
LEONARDO_4;Ricetta;TRIS GNOCCHI LEONARDO;MENU;0;1;pz
PRANZO_70;Ricetta;TRIS GNOCCHI BELLA LODI E PEPE;MENU PRANZO;12;1;pz
TRIS_GENOVA_LEONARDO;Ricetta;TRIS FUSILLO GENOVA LEONARDO;MENU;0;1;pz
PRANZO_22;Ricetta;TRIS FUSILLI PRANZO;ZZZ ARCHIVIO FOOD;8,8;1;pz
PRANZO_35;Ricetta;TRIS FUSILLI POMODORO E BASILICO;ZZZ ARCHIVIO FOOD;12;1;pz
PRANZO_36;Ricetta;TRIS FUSILLI ALLA NORMA;ZZZ ARCHIVIO FOOD;12;1;pz
BABY_13;Prodotto;TRIS AL POMODORO BABY;ZZZ ARCHIVIO FOOD;75;1;pz
SMASH_4;Ricetta;TRIPLO SMASH PECORINO E POMODORO;BURGER 🍔;18,4;1;pz
SMASH_2;Ricetta;TRIPLO SMASH BACON E CHEDDAR;BURGER 🍔;17,8;1;pz
DESSERT_29;Ricetta;TRIONFO AL CIOCCOLATO E NOCCIOLA;ZZZ ARCHIVIO FOOD;6,4;1;pz
COCKTAILS_31;Ricetta;TRINITA' BELLINI;ZZZ ARCHIVIO BEVERAGE;7;1;pz
BRACE_45;Ricetta;TRE DI POLLO;BRACE 🔥 🥩;12,64;1;pz
TRANCIO_MARGHERITA;Ricetta;TRANCIO MARGHERITA;ZZZ ARCHIVIO FOOD;3,8;1;pz
TRANCIO_6;Ricetta;TRANCIO FOCACCIA BIANCA DIP;PIZZE;1,5;1;pz
TRANCIO_5;Ricetta;TRANCIO FOCACCIA BIANCA;PIZZE;2,5;1;pz
VINI_13;Ricetta;TRAMINER BOTTIGLIA;VINI;24;1;pz
DESSERT_16;Ricetta;TORTA COMPLEANNO FRUTTI DI BOSCO;ZZZ ARCHIVIO FOOD;0;1;pz
DESSERT_15;Ricetta;TORTA COMPLEANNO CIOCCOLATO;ZZZ ARCHIVIO FOOD;0;1;pz
DESSERT_36;Ricetta;TORTA CAPRESE NEW 11/24;DESSERT 🍰;0;1;pz
DESSERT_14;Ricetta;TORTA CAPRESE;ZZZ ARCHIVIO FOOD;7;1;pz
PREZZO_TOO_GOOD_TO_GO;Prodotto;TOO GOOD TO GO;PROMO;19,95;1;pz
BIBITE_7;Ricetta;TONICA;BIBITE 🥤;3,8;1;pz
TONDA_4;Ricetta;TONDA MORTADELLA E BELLA LODI;ZZZ ARCHIVIO FOOD;0;1;pz
TONDA_2;Ricetta;TONDA MARGHERITA;ZZZ ARCHIVIO FOOD;0;1;pz
TONDA_3;Ricetta;TONDA FUNGHI E FIORDILATTE;ZZZ ARCHIVIO FOOD;0;1;pz
TONDA_1;Ricetta;TONDA CRUDO E PICCADILLY;ZZZ ARCHIVIO FOOD;0;1;pz
EVENTI_16;Ricetta;TOAST;BAR;5;1;pz
BIBITE_5;Ricetta;THE PESCA;BIBITE 🥤;3,8;1;pz
BIBITE_6;Ricetta;THE LIMONE;BIBITE 🥤;4;1;pz
CAFFE_22;Ricetta;THE CALDO;CAFFE' ☕;4;1;pz
FT1;Prodotto;Testo articolo;ZZZ ARCHIVIO FOOD;0;1;pz
COCKTAILS_18;Ricetta;TEQUILA SALE E LIMONE;COCKTAILS 🍸;3;1;pz
COCKTAILS_19;Ricetta;TEQUILA BUM BUM;COCKTAILS 🍸;3;1;pz
VARIANTI BEVERAGE_12;Prodotto;TEMPERATURA AMBIENTE;BIBITE 🥤;0;1;pz
